Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
168;0.04.35;0.04.40;0.05.15;0.05.16;0.05.30;0.06.00;0.06.12
169;0.07.27;0.07.35;0.08.10;0.08.14;0.08.29;0.08.59;0.09.07
170;0.09.10;0.09.17;0.09.52;0.09.53;0.10.06;0.10.36;0.10.46
171;0.10.09;0.10.16;0.10.51;0.10.52;0.11.05;0.11.35;0.11.45
172;0.11.09;0.11.20;0.11.55;0.11.56;0.12.08;0.12.38;0.12.51
173;0.12.26;0.12.34;0.13.09;0.13.10;0.13.27;0.13.57;0.14.19
174;0.13.53;0.14.03;0.14.38;0.14.38;0.14.50;0.15.20;0.15.29
175;0.15.32;0.15.37;0.16.12;0.16.14;0.16.27;0.16.57;0.17.08
176;0.16.38;0.16.48;0.17.23;0.17.24;0.17.36;0.18.06;0.18.19
177;0.17.42;0.17.56;0.18.31;0.18.32;0.18.45;0.19.15;0.19.26
178;0.18.55;0.19.01;0.19.36;0.19.37;0.19.52;0.20.22;0.20.32
179;0.20.05;0.20.12;0.20.47;0.20.47;0.21.01;0.21.31;0.21.42
180;0.21.10;0.21.18;0.21.53;0.21.53;0.22.08;0.22.38;0.22.47
181;0.22.11;0.22.18;0.22.53;0.22.53;0.23.05;0.23.35;0.23.48
182;0.23.22;0.23.29;0.24.04;0.24.05;0.24.19;0.24.49;0.24.59
183;0.24.24;0.24.30;0.25.05;0.25.05;0.25.18;0.25.48;0.25.57
184;0.25.23;0.25.29;0.26.04;0.26.05;0.26.18;0.26.48;0.26.57
185;0.26.59;0.27.02;0.27.37;0.27.38;0.27.50;0.28.20;0.28.30
186;0.27.53;0.27.58;0.28.33;0.28.35;0.28.47;0.29.17;0.29.26
187;0.29.28;0.29.33;0.30.08;0.30.08;0.30.22;0.30.52;0.31.04
188;0.30.37;0.30.43;0.31.18;0.31.20;0.31.32;0.32.02;0.32.14
189;0.31.52;0.31.57;0.32.32;0.32.33;0.32.43;0.33.13;0.33.24
190;0.32.47;0.33.02;0.33.37;0.33.37;0.33.52;0.34.22;0.34.37
191;0.33.56;0.34.04;0.34.39;0.34.41;0.34.58;0.35.28;0.35.40
192;0.35.08;0.35.13;0.35.48;0.35.50;0.36.01;0.36.31;0.36.47
193;0.36.21;0.36.26;0.37.01;0.37.03;0.37.15;0.37.45;0.37.54
194;0.37.19;0.37.26;0.38.01;0.38.01;0.38.15;0.38.45;0.38.55
195;0.38.23;0.38.29;0.39.04;0.39.06;0.39.19;0.39.49;0.39.58
196;0.39.24;0.39.28;0.40.03;0.40.04;0.40.16;0.40.46;0.40.58
197;0.40.26;0.40.34;0.41.09;0.41.10;0.41.25;0.41.55;0.42.03
198;0.41.29;0.41.34;0.42.09;0.42.10;0.42.21;0.42.51;0.43.00
199;0.42.31;0.42.37;0.43.12;0.43.13;0.43.25;0.43.55;0.44.07
200;0.43.39;0.43.45;0.44.20;0.44.23;0.44.35;0.45.05;0.45.40
201;0.44.39;0.44.45;0.45.20;0.45.46;0.46.01;0.46.31;0.46.38
